unit,year_month,fully_vac_rate
Marlborough-hispanic,2021-07,0.68
Marlborough-white,2021-07,0.56
Methuen-asian,2021-07,0.51
Methuen-black,2021-07,0.6
Methuen-hispanic,2021-07,0.27
Methuen-white,2021-07,0.53
Milford-asian,2021-07,0.5
Milford-black,2021-07,0.57
Milford-hispanic,2021-07,0.71
Milford-white,2021-07,0.58
New Bedford-asian,2021-07,0.46
New Bedford-black,2021-07,0.39
New Bedford-hispanic,2021-07,0.27
New Bedford-white,2021-07,0.41
Peabody-asian,2021-07,0.56
Peabody-black,2021-07,0.44
Peabody-hispanic,2021-07,0.44
Peabody-white,2021-07,0.57
Revere-asian,2021-07,0.63
Revere-black,2021-07,0.42
Revere-hispanic,2021-07,0.51
Revere-white,2021-07,0.57
Southbridge-asian,2021-07,0.5
Southbridge-black,2021-07,0.34
Southbridge-hispanic,2021-07,0.72
Southbridge-white,2021-07,0.33
Springfield-asian,2021-07,0.49
Springfield-black,2021-07,0.33
Springfield-hispanic,2021-07,0.28
Springfield-white,2021-07,0.52
Waltham-asian,2021-07,0.52
Waltham-black,2021-07,0.51
Waltham-hispanic,2021-07,0.36
Waltham-white,2021-07,0.6
Worcester-asian,2021-07,0.57
Worcester-black,2021-07,0.37
Worcester-hispanic,2021-07,0.36
Worcester-white,2021-07,0.51
Bellingham-asian,2021-08,0.51
Bellingham-black,2021-08,0.54
Bellingham-hispanic,2021-08,0.59
Bellingham-white,2021-08,0.54
Chelsea-asian,2021-08,0.6
Chelsea-black,2021-08,0.42
Chelsea-hispanic,2021-08,0.54
Chelsea-white,2021-08,0.68
Chicopee-asian,2021-08,0.52
Chicopee-black,2021-08,0.37
Chicopee-hispanic,2021-08,0.33
Chicopee-white,2021-08,0.54
Everett-asian,2021-08,0.61
Everett-black,2021-08,0.3
Everett-hispanic,2021-08,0.47
Everett-white,2021-08,0.57
Fitchburg-asian,2021-08,0.55
Fitchburg-black,2021-08,0.38
Fitchburg-hispanic,2021-08,0.35
Fitchburg-white,2021-08,0.52
Haverhill-asian,2021-08,0.56
Haverhill-black,2021-08,0.51
Haverhill-hispanic,2021-08,0.3
Haverhill-white,2021-08,0.56
Holyoke-asian,2021-08,0.55
Holyoke-black,2021-08,0.41
Holyoke-hispanic,2021-08,0.33
Holyoke-white,2021-08,0.59
Lawrence-asian,2021-08,0.58
Lawrence-black,2021-08,1.0
Lawrence-hispanic,2021-08,0.25
Lawrence-white,2021-08,0.92
Leominster-asian,2021-08,0.58
Leominster-black,2021-08,0.45
Leominster-hispanic,2021-08,0.41
Leominster-white,2021-08,0.6
Lynn-asian,2021-08,0.58
Lynn-black,2021-08,0.42
Lynn-hispanic,2021-08,0.41
Lynn-white,2021-08,0.65
Marlborough-asian,2021-08,0.5
Marlborough-black,2021-08,0.49
Marlborough-hispanic,2021-08,0.72
Marlborough-white,2021-08,0.58
Methuen-asian,2021-08,0.53
Methuen-black,2021-08,0.65
Methuen-hispanic,2021-08,0.3
Methuen-white,2021-08,0.55
Milford-asian,2021-08,0.5
Milford-black,2021-08,0.61
Milford-hispanic,2021-08,0.76
Milford-white,2021-08,0.6
New Bedford-asian,2021-08,0.48
New Bedford-black,2021-08,0.42
New Bedford-hispanic,2021-08,0.31
New Bedford-white,2021-08,0.43
Peabody-asian,2021-08,0.6
Peabody-black,2021-08,0.48
Peabody-hispanic,2021-08,0.48
Peabody-white,2021-08,0.59
Revere-asian,2021-08,0.66
Revere-black,2021-08,0.45
Revere-hispanic,2021-08,0.55
Revere-white,2021-08,0.59
Southbridge-asian,2021-08,0.53
Southbridge-black,2021-08,0.39
Southbridge-hispanic,2021-08,0.74
Southbridge-white,2021-08,0.36
Springfield-asian,2021-08,0.52
Springfield-black,2021-08,0.37
Springfield-hispanic,2021-08,0.31
Springfield-white,2021-08,0.54
Waltham-asian,2021-08,0.53
Waltham-black,2021-08,0.56
